"","id","A1","A2","A3","A4","A5","C1","C2","C3","C4","C5","C6","country","uso_ia_frecuencia","studyArea","education","workArea","gender","age","optionsCount"
"1","009W05E8EBO4bC8kno4e",4,4,5,4,4,4,4,3,3,1,4,"Argentina","frecuente","informatica-programacion","high-school","tecnologia-informatica","male",31,2
"2","00MYt7kVPTVDKacidduS",5,4,5,5,2,3,2,1,3,1,2,"Uruguay","ocasional","ciencias-economicas-administracion","masters","administracion-finanzas","female",52,3
"3","07siE5kWZyueZ5XZopfK",4,4,4,4,2,2,2,1,1,4,2,"Argentina","ocasional","otra-no-aplica","other","otra-no-aplica","male",44,2
"4","0HqiPIwdaMum8w9VYH7h",4,4,4,3,3,5,4,2,2,4,4,"España","frecuente","ciencias-educacion","bachelors","educacion","female",35,2
"5","0Kea3byWKJZ1Nl2Yqk1J",4,5,5,3,2,2,2,1,2,2,2,"Argentina","frecuente","ciencias-salud","bachelors","educacion","female",59,2
"6","0L49jizsh9mtaG4hWuof",2,3,4,3,4,2,4,1,3,2,4,"Argentina","ocasional","ciencias-salud","high-school","otra-no-aplica","female",18,3
"7","0Q2fzeBIW57K68SBJbng",4,4,5,4,3,2,2,1,1,2,2,"Argentina","frecuente","ciencias-sociales-humanidades","bachelors","administracion-finanzas","male",39,2
"8","0vcboBsU1GfCVNXnZ2QU",2,4,2,3,3,2,2,2,2,4,3,"Argentina","esporadicamente","ciencias-educacion","other","otra-no-aplica","female",60,2
"9","0WYQzR4RnrnumgdYb3Tu",3,4,4,4,2,3,4,3,3,4,4,"España","esporadicamente","ciencias-sociales-humanidades","bachelors","educacion","female",58,3
"10","0XKxZZF8PIefLhpy7UMc",3,3,5,4,3,1,2,1,1,1,4,"Argentina","ocasional","otra-no-aplica","high-school","otra-no-aplica","female",59,3
"11","1emei0xJbigJahyShEe4",4,4,5,4,1,1,4,2,5,5,5,"Argentina","frecuente","ciencias-salud","bachelors","salud-servicios-sociales","male",27,3
"12","1gmtlH9vNr3yjAzyltwX",3,3,4,3,2,2,2,1,1,1,3,"Argentina","frecuente","ciencias-sociales-humanidades","bachelors","educacion","female",42,2
"13","1J0YHNe4sH1Zgva6O1kl",5,5,5,5,3,4,4,2,4,4,5,"España","frecuente","ciencias-exactas-naturales","masters","industria-manufactura","male",26,3
